c,z,attribute,y,uni,z2,value
Egypt,Egypt,CongestionShare,2034,Libya,Libya,0.847945205
Egypt,Egypt,CongestionShare,2034,Sudan,Sudan,0.476141553
Egypt,Egypt,CongestionShare,2036,Libya,Libya,0.866666667
Egypt,Egypt,CongestionShare,2036,Sudan,Sudan,0.322488584
Egypt,Egypt,CongestionShare,2038,Libya,Libya,0.873515982
Egypt,Egypt,CongestionShare,2038,Sudan,Sudan,0.087328767
Egypt,Egypt,CongestionShare,2040,Libya,Libya,0.880022831
Egypt,Egypt,CongestionShare,2040,Sudan,Sudan,0.083105023
Egypt,Egypt,Interchange,2026,Libya,Libya,1331.492665
Egypt,Egypt,Interchange,2026,Sudan,Sudan,1818.85306
Egypt,Egypt,Interchange,2028,Libya,Libya,1254.773867
Egypt,Egypt,Interchange,2028,Sudan,Sudan,1517.50572
Egypt,Egypt,Interchange,2030,Libya,Libya,1258.162024
Egypt,Egypt,Interchange,2030,Sudan,Sudan,1576.116273
Egypt,Egypt,Interchange,2032,Libya,Libya,1327.471221
Egypt,Egypt,Interchange,2032,Sudan,Sudan,1552.954478
Egypt,Egypt,Interchange,2034,Libya,Libya,1350.831027
Egypt,Egypt,Interchange,2034,Sudan,Sudan,1289.62995
Egypt,Egypt,Interchange,2036,Libya,Libya,1386.773177
Egypt,Egypt,Interchange,2036,Sudan,Sudan,895.0896804
Egypt,Egypt,Interchange,2038,Libya,Libya,1393.177033
Egypt,Egypt,Interchange,2038,Sudan,Sudan,249.5819808
Egypt,Egypt,Interchange,2040,Libya,Libya,1389.96336
Egypt,Egypt,Interchange,2040,Sudan,Sudan,225.2671607
Egypt,Egypt,InterconUtilization,2026,Libya,Libya,0.844427108
Egypt,Egypt,InterconUtilization,2026,Sudan,Sudan,0.692105426
Egypt,Egypt,InterconUtilization,2028,Libya,Libya,0.795772366
Egypt,Egypt,InterconUtilization,2028,Sudan,Sudan,0.577437489
Egypt,Egypt,InterconUtilization,2030,Libya,Libya,0.797921121
Egypt,Egypt,InterconUtilization,2030,Sudan,Sudan,0.59973983
Egypt,Egypt,InterconUtilization,2032,Libya,Libya,0.841876725
Egypt,Egypt,InterconUtilization,2032,Sudan,Sudan,0.590926361
Egypt,Egypt,InterconUtilization,2034,Libya,Libya,0.856691417
Egypt,Egypt,InterconUtilization,2034,Sudan,Sudan,0.490726769
Egypt,Egypt,InterconUtilization,2036,Libya,Libya,0.879485779
Egypt,Egypt,InterconUtilization,2036,Sudan,Sudan,0.340597291
Egypt,Egypt,InterconUtilization,2038,Libya,Libya,0.883547078
Egypt,Egypt,InterconUtilization,2038,Sudan,Sudan,0.094970312
Egypt,Egypt,InterconUtilization,2040,Libya,Libya,0.88150898
Egypt,Egypt,InterconUtilization,2040,Sudan,Sudan,0.085718098
Egypt,Egypt,NetImport,2026,Libya,Libya,-1.331492665
Egypt,Egypt,NetImport,2026,Sudan,Sudan,-1.81885306
Egypt,Egypt,NetImport,2028,Libya,Libya,-1.254773867
Egypt,Egypt,NetImport,2028,Sudan,Sudan,-1.51750572
Egypt,Egypt,NetImport,2030,Libya,Libya,-1.258162024
Egypt,Egypt,NetImport,2030,Sudan,Sudan,-1.576116273
Egypt,Egypt,NetImport,2032,Libya,Libya,-1.327471221
Egypt,Egypt,NetImport,2032,Sudan,Sudan,-1.552954478
Egypt,Egypt,NetImport,2034,Libya,Libya,-1.350831027
Egypt,Egypt,NetImport,2034,Sudan,Sudan,-1.28962995
Egypt,Egypt,NetImport,2036,Libya,Libya,-1.386773177
Egypt,Egypt,NetImport,2036,Sudan,Sudan,-0.89508968
Egypt,Egypt,NetImport,2038,Libya,Libya,-1.393177033
Egypt,Egypt,NetImport,2038,Sudan,Sudan,-0.249581981
Egypt,Egypt,NetImport,2040,Libya,Libya,-1.38996336
Egypt,Egypt,NetImport,2040,Sudan,Sudan,-0.225267161
Egypt,Egypt,TransmissionCapacity,2026,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2026,Sudan,Sudan,300
Egypt,Egypt,TransmissionCapacity,2028,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2028,Sudan,Sudan,300
Egypt,Egypt,TransmissionCapacity,2030,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2030,Sudan,Sudan,300
Egypt,Egypt,TransmissionCapacity,2032,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2032,Sudan,Sudan,300
Egypt,Egypt,TransmissionCapacity,2034,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2034,Sudan,Sudan,300
Egypt,Egypt,TransmissionCapacity,2036,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2036,Sudan,Sudan,300
Egypt,Egypt,TransmissionCapacity,2038,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2038,Sudan,Sudan,300
Egypt,Egypt,TransmissionCapacity,2040,Libya,Libya,180
Egypt,Egypt,TransmissionCapacity,2040,Sudan,Sudan,300
Ethiopia,Ethiopia,CongestionShare,2026,Djibouti,Djibouti,0.57283105
Ethiopia,Ethiopia,CongestionShare,2026,Kenya,Kenya,1
Ethiopia,Ethiopia,CongestionShare,2026,Sudan,Sudan,1
Ethiopia,Ethiopia,CongestionShare,2028,Djibouti,Djibouti,0.251940639
Ethiopia,Ethiopia,CongestionShare,2028,Kenya,Kenya,1
Ethiopia,Ethiopia,CongestionShare,2028,Sudan,Sudan,1
Ethiopia,Ethiopia,CongestionShare,2030,Djibouti,Djibouti,0.248401826
Ethiopia,Ethiopia,CongestionShare,2030,Kenya,Kenya,1
Ethiopia,Ethiopia,CongestionShare,2030,Sudan,Sudan,1
Ethiopia,Ethiopia,CongestionShare,2032,Djibouti,Djibouti,0.297031963
Ethiopia,Ethiopia,CongestionShare,2032,Kenya,Kenya,1
Ethiopia,Ethiopia,CongestionShare,2032,Sudan,Sudan,1
Ethiopia,Ethiopia,CongestionShare,2034,Djibouti,Djibouti,0.286415525
Ethiopia,Ethiopia,CongestionShare,2034,Kenya,Kenya,0.970319635
Ethiopia,Ethiopia,CongestionShare,2034,Sudan,Sudan,1
Ethiopia,Ethiopia,CongestionShare,2036,Djibouti,Djibouti,0.29109589
Ethiopia,Ethiopia,CongestionShare,2036,Kenya,Kenya,0.64783105
Ethiopia,Ethiopia,CongestionShare,2036,Sudan,Sudan,0.769063927
Ethiopia,Ethiopia,CongestionShare,2038,Djibouti,Djibouti,0.342123288
Ethiopia,Ethiopia,CongestionShare,2038,Kenya,Kenya,0.638926941
Ethiopia,Ethiopia,CongestionShare,2038,Sudan,Sudan,0.85456621
Ethiopia,Ethiopia,CongestionShare,2040,Djibouti,Djibouti,0.478538813
Ethiopia,Ethiopia,CongestionShare,2040,Kenya,Kenya,0.660730594
Ethiopia,Ethiopia,CongestionShare,2040,Sudan,Sudan,0.782305936
Ethiopia,Ethiopia,Interchange,2026,Djibouti,Djibouti,757.9971534
Ethiopia,Ethiopia,Interchange,2026,Kenya,Kenya,1839.6
Ethiopia,Ethiopia,Interchange,2026,Sudan,Sudan,2102.4
Ethiopia,Ethiopia,Interchange,2028,Djibouti,Djibouti,934.7994007
Ethiopia,Ethiopia,Interchange,2028,Kenya,Kenya,1839.6
Ethiopia,Ethiopia,Interchange,2028,Sudan,Sudan,2102.4
Ethiopia,Ethiopia,Interchange,2030,Djibouti,Djibouti,1022.867836
Ethiopia,Ethiopia,Interchange,2030,Kenya,Kenya,1839.6
Ethiopia,Ethiopia,Interchange,2030,Sudan,Sudan,2102.4
Ethiopia,Ethiopia,Interchange,2032,Djibouti,Djibouti,1222.724477
Ethiopia,Ethiopia,Interchange,2032,Kenya,Kenya,1839.6
Ethiopia,Ethiopia,Interchange,2032,Sudan,Sudan,2102.4
Ethiopia,Ethiopia,Interchange,2034,Djibouti,Djibouti,1338.580874
Ethiopia,Ethiopia,Interchange,2034,Kenya,Kenya,1820.89312
Ethiopia,Ethiopia,Interchange,2034,Sudan,Sudan,2102.4
Ethiopia,Ethiopia,Interchange,2036,Djibouti,Djibouti,1443.074202
Ethiopia,Ethiopia,Interchange,2036,Kenya,Kenya,1239.173968
Ethiopia,Ethiopia,Interchange,2036,Sudan,Sudan,1633.992891
Ethiopia,Ethiopia,Interchange,2038,Djibouti,Djibouti,1521.059511
Ethiopia,Ethiopia,Interchange,2038,Kenya,Kenya,1244.83861
Ethiopia,Ethiopia,Interchange,2038,Sudan,Sudan,1797.188753
Ethiopia,Ethiopia,Interchange,2040,Djibouti,Djibouti,1633.259057
Ethiopia,Ethiopia,Interchange,2040,Kenya,Kenya,1250.984793
Ethiopia,Ethiopia,Interchange,2040,Sudan,Sudan,1697.44771
Ethiopia,Ethiopia,InterconUtilization,2026,Djibouti,Djibouti,0.91083532
Ethiopia,Ethiopia,InterconUtilization,2026,Kenya,Kenya,1
Ethiopia,Ethiopia,InterconUtilization,2026,Sudan,Sudan,1
Ethiopia,Ethiopia,InterconUtilization,2028,Djibouti,Djibouti,0.464713655
Ethiopia,Ethiopia,InterconUtilization,2028,Kenya,Kenya,1
Ethiopia,Ethiopia,InterconUtilization,2028,Sudan,Sudan,1
Ethiopia,Ethiopia,InterconUtilization,2030,Djibouti,Djibouti,0.508494818
Ethiopia,Ethiopia,InterconUtilization,2030,Kenya,Kenya,1
Ethiopia,Ethiopia,InterconUtilization,2030,Sudan,Sudan,1
Ethiopia,Ethiopia,InterconUtilization,2032,Djibouti,Djibouti,0.607848872
Ethiopia,Ethiopia,InterconUtilization,2032,Kenya,Kenya,1
Ethiopia,Ethiopia,InterconUtilization,2032,Sudan,Sudan,1
Ethiopia,Ethiopia,InterconUtilization,2034,Djibouti,Djibouti,0.66544417
Ethiopia,Ethiopia,InterconUtilization,2034,Kenya,Kenya,0.989831007
Ethiopia,Ethiopia,InterconUtilization,2034,Sudan,Sudan,1
Ethiopia,Ethiopia,InterconUtilization,2036,Djibouti,Djibouti,0.717390584
Ethiopia,Ethiopia,InterconUtilization,2036,Kenya,Kenya,0.67361055
Ethiopia,Ethiopia,InterconUtilization,2036,Sudan,Sudan,0.77720362
Ethiopia,Ethiopia,InterconUtilization,2038,Djibouti,Djibouti,0.756159155
Ethiopia,Ethiopia,InterconUtilization,2038,Kenya,Kenya,0.676689829
Ethiopia,Ethiopia,InterconUtilization,2038,Sudan,Sudan,0.854827223
Ethiopia,Ethiopia,InterconUtilization,2040,Djibouti,Djibouti,0.811936535
Ethiopia,Ethiopia,InterconUtilization,2040,Kenya,Kenya,0.680030872
Ethiopia,Ethiopia,InterconUtilization,2040,Sudan,Sudan,0.807385707
Ethiopia,Ethiopia,NetImport,2026,Djibouti,Djibouti,-0.757997153
Ethiopia,Ethiopia,NetImport,2026,Kenya,Kenya,-1.8396
Ethiopia,Ethiopia,NetImport,2026,Sudan,Sudan,-2.1024
Ethiopia,Ethiopia,NetImport,2028,Djibouti,Djibouti,-0.934799401
Ethiopia,Ethiopia,NetImport,2028,Kenya,Kenya,-1.8396
Ethiopia,Ethiopia,NetImport,2028,Sudan,Sudan,-2.1024
Ethiopia,Ethiopia,NetImport,2030,Djibouti,Djibouti,-1.022867836
Ethiopia,Ethiopia,NetImport,2030,Kenya,Kenya,-1.8396
Ethiopia,Ethiopia,NetImport,2030,Sudan,Sudan,-2.1024
Ethiopia,Ethiopia,NetImport,2032,Djibouti,Djibouti,-1.222724477
Ethiopia,Ethiopia,NetImport,2032,Kenya,Kenya,-1.8396
Ethiopia,Ethiopia,NetImport,2032,Sudan,Sudan,-2.1024
Ethiopia,Ethiopia,NetImport,2034,Djibouti,Djibouti,-1.338580874
Ethiopia,Ethiopia,NetImport,2034,Kenya,Kenya,-1.82089312
Ethiopia,Ethiopia,NetImport,2034,Sudan,Sudan,-2.1024
Ethiopia,Ethiopia,NetImport,2036,Djibouti,Djibouti,-1.443074202
Ethiopia,Ethiopia,NetImport,2036,Kenya,Kenya,-1.239173968
Ethiopia,Ethiopia,NetImport,2036,Sudan,Sudan,-1.633992891
Ethiopia,Ethiopia,NetImport,2038,Djibouti,Djibouti,-1.521059511
Ethiopia,Ethiopia,NetImport,2038,Kenya,Kenya,-1.24483861
Ethiopia,Ethiopia,NetImport,2038,Sudan,Sudan,-1.797188753
Ethiopia,Ethiopia,NetImport,2040,Djibouti,Djibouti,-1.633259057
Ethiopia,Ethiopia,NetImport,2040,Kenya,Kenya,-1.250984793
Ethiopia,Ethiopia,NetImport,2040,Sudan,Sudan,-1.69744771
Ethiopia,Ethiopia,TransmissionCapacity,2026,Djibouti,Djibouti,95
Ethiopia,Ethiopia,TransmissionCapacity,2026,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2026,Sudan,Sudan,240
Ethiopia,Ethiopia,TransmissionCapacity,2028,Djibouti,Djibouti,275
Ethiopia,Ethiopia,TransmissionCapacity,2028,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2028,Sudan,Sudan,240
Ethiopia,Ethiopia,TransmissionCapacity,2030,Djibouti,Djibouti,275
Ethiopia,Ethiopia,TransmissionCapacity,2030,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2030,Sudan,Sudan,240
Ethiopia,Ethiopia,TransmissionCapacity,2032,Djibouti,Djibouti,275
Ethiopia,Ethiopia,TransmissionCapacity,2032,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2032,Sudan,Sudan,240
Ethiopia,Ethiopia,TransmissionCapacity,2034,Djibouti,Djibouti,275
Ethiopia,Ethiopia,TransmissionCapacity,2034,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2034,Sudan,Sudan,240
Ethiopia,Ethiopia,TransmissionCapacity,2036,Djibouti,Djibouti,275
Ethiopia,Ethiopia,TransmissionCapacity,2036,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2036,Sudan,Sudan,240
Ethiopia,Ethiopia,TransmissionCapacity,2038,Djibouti,Djibouti,275
Ethiopia,Ethiopia,TransmissionCapacity,2038,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2038,Sudan,Sudan,240
Ethiopia,Ethiopia,TransmissionCapacity,2040,Djibouti,Djibouti,275
Ethiopia,Ethiopia,TransmissionCapacity,2040,Kenya,Kenya,210
Ethiopia,Ethiopia,TransmissionCapacity,2040,Sudan,Sudan,240
Kenya,Kenya,CongestionShare,2026,Tanzania,Tanzania,0.016324201
Kenya,Kenya,CongestionShare,2026,Uganda,Uganda,0.791324201
Kenya,Kenya,CongestionShare,2028,Tanzania,Tanzania,0.232990868
Kenya,Kenya,CongestionShare,2028,Uganda,Uganda,0.751940639
Kenya,Kenya,CongestionShare,2030,Tanzania,Tanzania,0.053995434
Kenya,Kenya,CongestionShare,2030,Uganda,Uganda,0.719863014
Kenya,Kenya,CongestionShare,2032,Tanzania,Tanzania,0.011986301
Kenya,Kenya,CongestionShare,2032,Uganda,Uganda,0.723173516
Kenya,Kenya,CongestionShare,2034,Tanzania,Tanzania,0.003082192
Kenya,Kenya,CongestionShare,2034,Uganda,Uganda,0.872146119
Kenya,Kenya,CongestionShare,2036,Tanzania,Tanzania,0.003082192
Kenya,Kenya,CongestionShare,2036,Uganda,Uganda,0.658561644
Kenya,Kenya,CongestionShare,2038,Tanzania,Tanzania,0.022146119
Kenya,Kenya,CongestionShare,2038,Uganda,Uganda,0.651940639
Kenya,Kenya,CongestionShare,2040,Ethiopia,Ethiopia,0.004452055
Kenya,Kenya,CongestionShare,2040,Tanzania,Tanzania,0.033105023
Kenya,Kenya,CongestionShare,2040,Uganda,Uganda,0.673515982
Kenya,Kenya,Interchange,2026,Tanzania,Tanzania,7524.883647
Kenya,Kenya,Interchange,2026,Uganda,Uganda,492.0663919
Kenya,Kenya,Interchange,2028,Tanzania,Tanzania,9388.197848
Kenya,Kenya,Interchange,2028,Uganda,Uganda,473.3510312
Kenya,Kenya,Interchange,2030,Tanzania,Tanzania,6883.380004
Kenya,Kenya,Interchange,2030,Uganda,Uganda,450.9065074
Kenya,Kenya,Interchange,2032,Tanzania,Tanzania,4038.095681
Kenya,Kenya,Interchange,2032,Uganda,Uganda,445.6320474
Kenya,Kenya,Interchange,2034,Tanzania,Tanzania,4233.624079
Kenya,Kenya,Interchange,2034,Uganda,Uganda,538.0685722
Kenya,Kenya,Interchange,2036,Tanzania,Tanzania,2896.060416
Kenya,Kenya,Interchange,2036,Uganda,Uganda,411.9695326
Kenya,Kenya,Interchange,2038,Tanzania,Tanzania,2703.946433
Kenya,Kenya,Interchange,2038,Uganda,Uganda,413.0145322
Kenya,Kenya,Interchange,2040,Ethiopia,Ethiopia,22.21881478
Kenya,Kenya,Interchange,2040,Tanzania,Tanzania,2935.852337
Kenya,Kenya,Interchange,2040,Uganda,Uganda,426.8394722
Kenya,Kenya,InterconUtilization,2026,Tanzania,Tanzania,0.572669988
Kenya,Kenya,InterconUtilization,2026,Uganda,Uganda,0.802456608
Kenya,Kenya,InterconUtilization,2028,Tanzania,Tanzania,0.714474722
Kenya,Kenya,InterconUtilization,2028,Uganda,Uganda,0.771935798
Kenya,Kenya,InterconUtilization,2030,Tanzania,Tanzania,0.523849315
Kenya,Kenya,InterconUtilization,2030,Uganda,Uganda,0.735333508
Kenya,Kenya,InterconUtilization,2032,Tanzania,Tanzania,0.307313218
Kenya,Kenya,InterconUtilization,2032,Uganda,Uganda,0.726731975
Kenya,Kenya,InterconUtilization,2034,Tanzania,Tanzania,0.322193613
Kenya,Kenya,InterconUtilization,2034,Uganda,Uganda,0.877476471
Kenya,Kenya,InterconUtilization,2036,Tanzania,Tanzania,0.220400336
Kenya,Kenya,InterconUtilization,2036,Uganda,Uganda,0.671835506
Kenya,Kenya,InterconUtilization,2038,Tanzania,Tanzania,0.205779789
Kenya,Kenya,InterconUtilization,2038,Uganda,Uganda,0.673539681
Kenya,Kenya,InterconUtilization,2040,Ethiopia,Ethiopia,0.009875029
Kenya,Kenya,InterconUtilization,2040,Tanzania,Tanzania,0.223428641
Kenya,Kenya,InterconUtilization,2040,Uganda,Uganda,0.696085245
Kenya,Kenya,NetImport,2026,Tanzania,Tanzania,-7.524883647
Kenya,Kenya,NetImport,2026,Uganda,Uganda,-0.492066392
Kenya,Kenya,NetImport,2028,Tanzania,Tanzania,-9.388197848
Kenya,Kenya,NetImport,2028,Uganda,Uganda,-0.473351031
Kenya,Kenya,NetImport,2030,Tanzania,Tanzania,-6.883380004
Kenya,Kenya,NetImport,2030,Uganda,Uganda,-0.450906507
Kenya,Kenya,NetImport,2032,Tanzania,Tanzania,-4.038095681
Kenya,Kenya,NetImport,2032,Uganda,Uganda,-0.445632047
Kenya,Kenya,NetImport,2034,Tanzania,Tanzania,-4.233624079
Kenya,Kenya,NetImport,2034,Uganda,Uganda,-0.538068572
Kenya,Kenya,NetImport,2036,Tanzania,Tanzania,-2.896060416
Kenya,Kenya,NetImport,2036,Uganda,Uganda,-0.411969533
Kenya,Kenya,NetImport,2038,Tanzania,Tanzania,-2.703946433
Kenya,Kenya,NetImport,2038,Uganda,Uganda,-0.413014532
Kenya,Kenya,NetImport,2040,Ethiopia,Ethiopia,-0.022218815
Kenya,Kenya,NetImport,2040,Tanzania,Tanzania,-2.935852337
Kenya,Kenya,NetImport,2040,Uganda,Uganda,-0.426839472
Kenya,Kenya,TransmissionCapacity,2026,Ethiopia,Ethiopia,210
Kenya,Kenya,TransmissionCapacity,2026,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2026,Uganda,Uganda,70
Kenya,Kenya,TransmissionCapacity,2028,Ethiopia,Ethiopia,210
Kenya,Kenya,TransmissionCapacity,2028,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2028,Uganda,Uganda,70
Kenya,Kenya,TransmissionCapacity,2030,Ethiopia,Ethiopia,300
Kenya,Kenya,TransmissionCapacity,2030,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2030,Uganda,Uganda,70
Kenya,Kenya,TransmissionCapacity,2032,Ethiopia,Ethiopia,300
Kenya,Kenya,TransmissionCapacity,2032,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2032,Uganda,Uganda,70
Kenya,Kenya,TransmissionCapacity,2034,Ethiopia,Ethiopia,300
Kenya,Kenya,TransmissionCapacity,2034,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2034,Uganda,Uganda,70
Kenya,Kenya,TransmissionCapacity,2036,Ethiopia,Ethiopia,300
Kenya,Kenya,TransmissionCapacity,2036,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2036,Uganda,Uganda,70
Kenya,Kenya,TransmissionCapacity,2038,Ethiopia,Ethiopia,300
Kenya,Kenya,TransmissionCapacity,2038,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2038,Uganda,Uganda,70
Kenya,Kenya,TransmissionCapacity,2040,Ethiopia,Ethiopia,400
Kenya,Kenya,TransmissionCapacity,2040,Tanzania,Tanzania,1500
Kenya,Kenya,TransmissionCapacity,2040,Uganda,Uganda,70
Libya,Libya,CongestionShare,2028,Egypt,Egypt,0.016438356
Libya,Libya,CongestionShare,2030,Egypt,Egypt,0.021004566
Libya,Libya,CongestionShare,2032,Egypt,Egypt,0.016666667
Libya,Libya,CongestionShare,2034,Egypt,Egypt,0.016666667
Libya,Libya,CongestionShare,2036,Egypt,Egypt,0.014155251
Libya,Libya,CongestionShare,2038,Egypt,Egypt,0.017123288
Libya,Libya,CongestionShare,2040,Egypt,Egypt,0.041552511
Libya,Libya,Interchange,2026,Egypt,Egypt,0.035101991
Libya,Libya,Interchange,2028,Egypt,Egypt,34.4803559
Libya,Libya,Interchange,2030,Egypt,Egypt,46.52861973
Libya,Libya,Interchange,2032,Egypt,Egypt,41.74219909
Libya,Libya,Interchange,2034,Egypt,Egypt,39.49036478
Libya,Libya,Interchange,2036,Egypt,Egypt,22.6321728
Libya,Libya,Interchange,2038,Egypt,Egypt,35.11289561
Libya,Libya,Interchange,2040,Egypt,Egypt,69.64196877
Libya,Libya,InterconUtilization,2026,Egypt,Egypt,2.23E-05
Libya,Libya,InterconUtilization,2028,Egypt,Egypt,0.021867298
Libya,Libya,InterconUtilization,2030,Egypt,Egypt,0.029508257
Libya,Libya,InterconUtilization,2032,Egypt,Egypt,0.026472729
Libya,Libya,InterconUtilization,2034,Egypt,Egypt,0.025044625
Libya,Libya,InterconUtilization,2036,Egypt,Egypt,0.01435323
Libya,Libya,InterconUtilization,2038,Egypt,Egypt,0.022268452
Libya,Libya,InterconUtilization,2040,Egypt,Egypt,0.044166647
Libya,Libya,NetImport,2026,Egypt,Egypt,-3.51E-05
Libya,Libya,NetImport,2028,Egypt,Egypt,-0.034480356
Libya,Libya,NetImport,2030,Egypt,Egypt,-0.04652862
Libya,Libya,NetImport,2032,Egypt,Egypt,-0.041742199
